Timestamp,Open,High,Low,Close,Volume_sum,SMA,Rolling_STD,Bollinger_Upper_2,Bollinger_Lower_2,Bollinger_Upper_3,Bollinger_Lower_3,Bollinger_Upper_4,Bollinger_Lower_4,RSI,Stochastic
1695772800,26214.9,26214.9,26214.9,26214.9,0.06827029,,,,,,,,,,
1695772860,26214.9,26214.9,26214.8,26214.9,0.04904735,,,,,,,,,,
1695772920,26214.9,26215.8,26214.9,26215.8,0.21120049,,,,,,,,,,
1695772980,26215.8,26215.8,26215.7,26215.8,0.0586608,,,,,,,,,,
1695773040,26215.8,26215.8,26215.8,26215.8,0.03322806,,,,,,,,,,
1695773100,26215.8,26230.0,26215.8,26230.0,0.12121548,,,,,,,,,,
1695773160,26230.0,26230.0,26229.9,26230.0,0.12888597999999998,,,,,,,,,,
1695773220,26230.0,26230.0,26229.9,26229.9,0.08036168,,,,,,,,,,
1695773280,26230.0,26230.0,26229.9,26230.0,0.71510586,,,,,,,,,,
1695773340,26230.0,26235.0,26230.0,26235.0,0.39229559,,,,,,,,,,
1695773400,26235.0,26235.0,26234.9,26235.0,0.60007227,,,,,,,,,,
1695773460,26234.9,26235.0,26230.0,26230.0,0.4073809,,,,,,,,,,
1695773520,26230.0,26230.0,26229.9,26230.0,0.0811869,,,,,,,,,,
1695773580,26229.9,26230.0,26229.9,26230.0,0.0551935,,,,,,,,,79.84189723320385,75.24752475247614
1695773640,26230.0,26230.0,26230.0,26230.0,0.00456214,,,,,,,,,79.84189723320385,75.24752475247614
1695773700,26230.0,26230.0,26230.0,26230.0,0.20933802,,,,,,,,,79.84189723320385,75.12437810945094
1695773760,26230.0,26232.0,26230.0,26231.9,0.06819469,,,,,,,,,80.6083650190164,83.93782383420383
1695773820,26232.0,26234.9,26232.0,26234.9,0.008410250000000001,,,,,,,,,82.59385665529464,99.47916666667427
1695773880,26235.0,26235.0,26235.0,26235.0,0.68855584,,,,,,,,,82.65306122449346,100.0
1695773940,26234.9,26234.9,26229.9,26229.9,2.44868571,26227.440000000002,7.371738351013024,26242.18347670203,26212.696523297975,26249.555215053042,26205.324784946963,26256.926953404054,26197.95304659595,49.75369458128432,0.0
